
75,75,450,230,3,3,LEFT,28,4,22,180,53,94,-1,,75,RIGHT,,75,49
76,76,620,282,3,2,RIGHT,117,80,28,168,-1,25,175,,76,LEFT,,76,16
77,77,650,294,3,2,RIGHT,129,68,25,165,-1,21,163,,77,DOWN,,77,10
78,78,700,318,3,2,DOWN,153,52,7,160,-1,43,139,,78,DOWN,,78,18
79,79,700,330,3,2,RIGHT,165,40,8,160,-1,49,127,,79,LEFT,,79,22
80,80,700,366,3,2,RIGHT,140,4,8,160,-1,36,91,,80,UP,,80,22
81,81,790,402,3,2,UP,128,44,19,151,-1,13,55,,81,DOWN,,81,4
82,82,810,414,3,2,RIGHT,116,56,14,149,-1,12,43,,82,DOWN,,82,0
83,83,810,426,3,2,RIGHT,104,68,11,149,-1,25,31,,83,DOWN,,83,0
84,84,810,450,3,2,DOWN,128,52,0,149,-1,37,7,,84,LEFT,,84,18
85,85,810,462,3,2,LEFT,140,40,0,149,36,-1,-1,,85,DOWN,,85,0
86,86,810,498,3,2,LEFT,165,4,8,149,40,-1,-1,,86,UP,,86,0
87,87,900,534,3,2,UP,140,4,11,140,16,-1,-1,,87,RIGHT,,87,0
90,90,900,595,2,2,RIGHT,140,52,0,140,-1,-1,-1,,90,LEFT,,90,6
94,94,970,688,1,2,RIGHT,56,104,16,133,-1,-1,-1,,94,RIGHT,,94,51
95,95,1040,716,1,2,UP,28,132,34,126,-1,-1,-1,,95,RIGHT,,95,37
96,96,1070,728,1,2,RIGHT,16,128,26,123,-1,-1,-1,,96,UP,,96,31
97,97,1230,780,1,1,DOWN,85,132,20,112,31,47,-1,,97,DOWN,,97,0
92,92,20,93,3,4,LEFT,48,56,27,218,-1,-1,-1,,92,UP,,92,26
93,93,80,117,3,4,UP,72,80,11,212,25,-1,-1,,93,RIGHT,,93,47
94,94,110,129,3,4,UP,84,92,18,209,47,-1,-1,,94,DOWN,,94,47
95,95,150,145,3,4,UP,100,108,26,205,25,-1,-1,,95,RIGHT,,95,45
96,96,320,197,3,3,DOWN,112,120,25,193,-1,17,163,,96,LEFT,,96,26
97,97,350,209,3,3,LEFT,124,132,30,190,-1,35,151,,97,RIGHT,,97,32
98,98,380,221,3,3,LEFT,136,144,32,187,-1,53,139,,98,DOWN,,98,30
99,99,450,249,3,3,RIGHT,108,116,8,180,-1,39,111,,99,RIGHT,,99,16
